inventory_id,product_id,stock_quantity,reorder_level,inventory_status,warehouse_location,last_stock_update
INV0040,P0020,25,8,HEALTHY,South Warehouse,2026-05-29 07:08:59.771119
INV0001,P0001,45,10,HEALTHY,North Warehouse,2026-01-01 10:00:00.000000
INV0002,P0002,30,8,HEALTHY,North Warehouse,2026-01-01 10:00:00.000000
INV0003,P0003,55,15,HEALTHY,North Warehouse,2026-01-01 10:00:00.000000
INV0004,P0004,12,5,HEALTHY,North Warehouse,2026-01-01 10:00:00.000000
INV0005,P0005,18,5,HEALTHY,North Warehouse,2026-01-01 10:00:00.000000
INV0006,P0006,60,20,HEALTHY,West Warehouse,2026-01-02 11:00:00.000000
INV0007,P0007,75,25,HEALTHY,West Warehouse,2026-01-02 11:00:00.000000
INV0008,P0008,40,10,HEALTHY,West Warehouse,2026-01-02 11:00:00.000000
INV0009,P0009,150,50,HEALTHY,West Warehouse,2026-01-02 11:00:00.000000
INV0010,P0010,120,40,HEALTHY,West Warehouse,2026-01-02 11:00:00.000000
INV0011,P0011,25,8,HEALTHY,South Warehouse,2026-01-03 12:00:00.000000
INV0012,P0012,10,3,HEALTHY,South Warehouse,2026-01-03 12:00:00.000000
INV0013,P0013,22,7,HEALTHY,South Warehouse,2026-01-03 12:00:00.000000
INV0014,P0014,16,5,HEALTHY,South Warehouse,2026-01-03 12:00:00.000000
INV0015,P0015,35,10,HEALTHY,South Warehouse,2026-01-03 12:00:00.000000
INV0016,P0016,48,15,HEALTHY,East Warehouse,2026-01-04 09:30:00.000000
INV0017,P0017,90,30,HEALTHY,East Warehouse,2026-01-04 09:30:00.000000
INV0018,P0018,65,20,HEALTHY,East Warehouse,2026-01-04 09:30:00.000000
INV0019,P0019,200,60,HEALTHY,East Warehouse,2026-01-04 09:30:00.000000
INV0020,P0020,28,8,HEALTHY,East Warehouse,2026-01-04 09:30:00.000000
INV0021,P0001,38,10,HEALTHY,Central Warehouse,2026-01-05 14:00:00.000000
INV0022,P0002,26,8,HEALTHY,Central Warehouse,2026-01-05 14:00:00.000000
INV0023,P0003,42,12,HEALTHY,Central Warehouse,2026-01-05 14:00:00.000000
INV0024,P0004,14,5,HEALTHY,Central Warehouse,2026-01-05 14:00:00.000000
INV0025,P0005,20,5,HEALTHY,Central Warehouse,2026-01-05 14:00:00.000000
INV0026,P0006,58,20,HEALTHY,North Warehouse,2026-01-06 10:15:00.000000
INV0027,P0007,72,25,HEALTHY,North Warehouse,2026-01-06 10:15:00.000000
INV0028,P0008,36,10,HEALTHY,North Warehouse,2026-01-06 10:15:00.000000
INV0029,P0009,170,50,HEALTHY,North Warehouse,2026-01-06 10:15:00.000000
INV0030,P0010,110,40,HEALTHY,North Warehouse,2026-01-06 10:15:00.000000
INV0031,P0011,20,8,HEALTHY,West Warehouse,2026-01-07 13:00:00.000000
INV0032,P0012,12,3,HEALTHY,West Warehouse,2026-01-07 13:00:00.000000
INV0033,P0013,18,7,HEALTHY,West Warehouse,2026-01-07 13:00:00.000000
INV0034,P0014,15,5,HEALTHY,West Warehouse,2026-01-07 13:00:00.000000
INV0035,P0015,30,10,HEALTHY,West Warehouse,2026-01-07 13:00:00.000000
INV0036,P0016,44,15,HEALTHY,South Warehouse,2026-01-08 15:00:00.000000
INV0037,P0017,85,30,HEALTHY,South Warehouse,2026-01-08 15:00:00.000000
INV0038,P0018,62,20,HEALTHY,South Warehouse,2026-01-08 15:00:00.000000
INV0039,P0019,210,60,HEALTHY,South Warehouse,2026-01-08 15:00:00.000000
