transaction_id,opportunity_name,product_id,store_id,quantity,selling_price,discount_amount,transaction_timestamp,transaction_date,payment_mode,sales_channel,name,stage_name,owner_id,amount,customer_id
TXN000001,Royal Lifestyle Order 84,P0011,S005,5,93681,9545,2026-03-17 17:09:51,2026-03-17,Card,Store,Royal Lifestyle Order 84,Prospecting,005a3000mvJbWxwAAF,126309.0000000000000000000000,
TXN000002,Quick Mobile Order 47,P0020,S004,1,22723,2060,2026-01-13 13:57:14,2026-01-13,Cash,Store,Quick Mobile Order 47,Closed Won,005a3000mvJbWxwAAF,199437.0000000000000000000000,
TXN000003,Fresh Appliances Order 15,,S001,3,24335,3346,2026-01-13 16:48:13,2026-01-13,Net Banking,Online,Fresh Appliances Order 15,Negotiation/Review,005a3000mvJbWxwAAF,415548.0000000000000000000000,001a3003WNDnnwyAYB
TXN000004,Urban Furniture Order 35,P0015,S003,3,51821,5958,2026-03-09 00:38:06,2026-03-09,Net Banking,Online,Urban Furniture Order 35,Negotiation/Review,005a3000mvJbWxwAAF,201980.0000000000000000000000,
TXN000005,Smart Furniture Order 63,P0005,S004,4,92199,12352,2026-01-23 09:35:51,2026-01-23,Card,Online,Smart Furniture Order 63,Closed Lost,005a3000mvJbWxwAAF,53973.0000000000000000000000,
TXN000006,Royal Electronics Order 11,P0003,S001,3,1409,135,2026-03-09 11:11:34,2026-03-09,Card,Store,Royal Electronics Order 11,Needs Analysis,005a3000mvJbWxwAAF,82213.0000000000000000000000,
TXN000007,Value Mobile Order 81,P0008,S003,2,38121,1763,2026-02-18 00:46:09,2026-02-18,UPI,Store,Value Mobile Order 81,Needs Analysis,005a3000mvJbWxwAAF,-5000.0000000000000000000000,
TXN000008,Value Fashion Order 95,P0006,S002,2,107459,14564,2026-01-17 18:12:09,2026-01-17,Net Banking,Online,Value Fashion Order 95,Needs Analysis,005a3000mvJbWxwAAF,55711.0000000000000000000000,
TXN000009,Value Fashion Order 4,P0006,S005,1,51355,973,2026-02-23 15:50:51,2026-02-23,Cash,Online,Value Fashion Order 4,Qualification,005a3000mvJbWxwAAF,153828.0000000000000000000000,
TXN000010,Quick Appliances Order 22,P0009,S004,2,75727,627,2026-01-27 22:00:57,2026-01-27,Net Banking,Store,Quick Appliances Order 22,Closed Won,005a3000mvJbWxwAAF,320364.0000000000000000000000,
TXN000011,Value Electronics Order 98,P0003,S004,5,33484,4974,2026-02-26 01:39:25,2026-02-26,UPI,Online,Value Electronics Order 98,Qualification,005a3000mvJbWxwAAF,324652.0000000000000000000000,
TXN000012,Quick Electronics Order 27,P0004,S003,-1,6602,533,2026-01-28 21:08:12,2026-01-28,UPI,Online,Quick Electronics Order 27,Needs Analysis,005a3000mvJbWxwAAF,295483.0000000000000000000000,
TXN000013,Quick Appliances Order 22,P0013,S002,4,16492,2445,2026-02-06 23:27:33,2026-02-06,Cash,Online,Quick Appliances Order 22,Closed Won,005a3000mvJbWxwAAF,320364.0000000000000000000000,
TXN000014,Smart Furniture Order 63,P0018,S005,1,86418,11055,2026-02-07 12:55:01,2026-02-07,Card,Online,Smart Furniture Order 63,Closed Lost,005a3000mvJbWxwAAF,53973.0000000000000000000000,
TXN000015,Modern Accessories Order 20,P0012,S002,5,17373,664,2026-03-24 18:29:38,2026-03-24,Net Banking,Online,Modern Accessories Order 20,Negotiation/Review,005a3000mvJbWxwAAF,434656.0000000000000000000000,
TXN000016,Elite Accessories Order 13,P0010,S002,2,60710,6056,2026-01-17 04:17:18,2026-01-17,Net Banking,Store,Elite Accessories Order 13,Closed Lost,005a3000mvJbWxwAAF,171218.0000000000000000000000,
TXN000017,Prime Groceries Order 78,P0006,S004,3,103887,742,2026-02-07 01:06:30,2026-02-07,Net Banking,Store,Prime Groceries Order 78,Qualification,005a3000mvJbWxwAAF,137576.0000000000000000000000,
TXN000018,Royal Lifestyle Order 32,P0005,S005,1,59788,3278,2026-03-19 23:12:06,2026-03-19,Cash,Online,Royal Lifestyle Order 32,Qualification,005a3000mvJbWxwAAF,340907.0000000000000000000000,
TXN000019,Prime Fashion Order 19,P0003,S004,3,95489,739,2026-02-16 09:12:26,2026-02-16,Card,Store,Prime Fashion Order 19,Closed Lost,005a3000mvJbWxwAAF,493577.0000000000000000000000,
TXN000020,Prime Fashion Order 19,P0018,S002,2,67759,6390,2026-01-20 19:13:39,2026-01-20,Cash,Store,Prime Fashion Order 19,Closed Lost,005a3000mvJbWxwAAF,493577.0000000000000000000000,
TXN000021,Modern Mobile Order 93,P0018,S003,1,89179,10574,2026-02-11 22:55:01,2026-02-11,Net Banking,Online,Modern Mobile Order 93,Proposal/Price Quote,005a3000mvJbWxwAAF,482103.0000000000000000000000,
TXN000022,Urban Lifestyle Order 46,P0002,S004,2,15569,1452,2026-02-28 00:12:56,2026-02-28,UPI,Store,Urban Lifestyle Order 46,Negotiation/Review,005a3000mvJbWxwAAF,249307.0000000000000000000000,
TXN000023,Urban Mobile Order 42,P0012,S003,1,-100,4850,2026-02-03 08:18:38,2026-02-03,UPI,Online,Urban Mobile Order 42,Closed Won,005a3000mvJbWxwAAF,466272.0000000000000000000000,
TXN000024,Elite Furniture Order 54,P0015,S005,3,66906,5845,2026-01-26 19:37:10,2026-01-26,Card,Online,Elite Furniture Order 54,Negotiation/Review,005a3000mvJbWxwAAF,91153.0000000000000000000000,
TXN000025,Global Appliances Order 51,P0005,S001,1,108076,8726,2026-03-20 12:48:05,2026-03-20,Cash,Store,Global Appliances Order 51,Proposal/Price Quote,005a3000mvJbWxwAAF,281686.0000000000000000000000,
TXN000026,Urban Groceries Order 8,P0011,S005,1,61278,6377,2026-03-14 10:12:30,2026-03-14,UPI,Online,Urban Groceries Order 8,Needs Analysis,005a3000mvJbWxwAAF,29972.0000000000000000000000,
TXN000027,Elite Accessories Order 28,P0007,S003,5,82657,8926,2026-03-01 08:56:26,2026-03-01,Cash,Online,Elite Accessories Order 28,Qualification,005a3000mvJbWxwAAF,355304.0000000000000000000000,
